temperature,humidity,wind_speed,dew_point
46,100,10,46
53,100,16,53
67,66,8,55
83,65,10,70
64,93,6,62
68,25,7,31
54,94,13,52
42,53,8,26
93,62,3,78
84,49,8,63
47,97,0,46
78,74,7,69
54,75,11,46
76,88,3,72
72,79,28,65
83,44,3,59
64,96,15,63
36,100,7,36
61,75,7,53
28,88,5,25
45,90,0,42
64,93,14,62
45,54,8,29
61,97,15,60
75,79,10,68
58,81,24,52
57,83,6,52
68,78,7,61
76,94,0,74
48,94,10,46
43,63,8,31
41,73,13,33
77,100,6,77
80,60,16,65
69,90,23,66
78,90,5,75
56,51,10,38
38,93,0,36
73,90,3,70
84,77,0,76
41,67,5,31
80,90,0,77
41,57,7,27
60,50,18,41
58,78,0,51
73,100,0,73
80,74,10,71
65,87,5,61
90,58,5,73
85,70,6,74
81,65,7,68
52,89,15,49
69,100,0,69
62,90,5,59
77,60,14,62
43,80,8,37
67,71,3,57
68,65,0,56
75,66,7,63
66,39,20,40
43,82,20,38
75,94,6,73
41,93,6,39
39,62,14,27
48,68,7,38
56,72,0,47
80,87,7,76
75,90,6,72
68,100,0,68
62,78,9,55
80,64,9,67
41,89,7,38
41,65,3,30
60,80,14,54
55,94,16,54
26,60,13,14
47,80,7,41
71,35,3,42
53,77,8,46
44,93,3,42
85,61,8,70
60,90,0,57
79,74,15,70
76,85,7,71
73,100,0,73
38,86,0,34
64,93,8,62
37,100,7,37
48,100,0,48
68,93,17,66
44,100,6,44
62,86,0,58
77,89,9,73
76,52,9,57
51,39,3,27
51,96,6,50
79,69,15,68
94,51,20,73
76,91,0,73
67,59,5,52